,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
79,SV6GH2,EURO STOXX 50,"3.200,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,770 EUR","9,870 EUR","1,01 %",,Europäisch,Société Générale,
80,SV6GH3,EURO STOXX 50,"3.200,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,780 EUR","9,880 EUR","1,01 %",,Europäisch,Société Générale,
81,SV1YNC,EURO STOXX 50,"3.000,00 Pkt.","4.600,00 Pkt.",15.09.2023,"9,690 EUR","9,790 EUR","1,02 %",,Europäisch,Société Générale,
82,SV1W2K,S&P 500,"3.000,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,740 EUR","9,840 EUR","1,02 %",,Europäisch,Société Générale,
83,SV23ZB,Prosus,"50,000 EUR","80,000 EUR",15.09.2023,"9,750 EUR","9,850 EUR","1,015 %",,Europäisch,Société Générale,
84,SV69CK,S&P 500,"3.600,00 Pkt.","5.400,00 Pkt.",20.10.2023,"9,730 EUR","9,830 EUR","1,02 %",,Europäisch,Société Générale,
85,SV1W2L,S&P 500,"3.000,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,730 EUR","9,830 EUR","1,02 %",,Europäisch,Société Générale,
86,SV13QS,EURO STOXX 50,"2.800,00 Pkt.","4.600,00 Pkt.",15.09.2023,"9,690 EUR","9,790 EUR","1,02 %",,Europäisch,Société Générale,
87,SV433S,S&P 500,"3.000,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,740 EUR","9,840 EUR","1,02 %",,Europäisch,Société Générale,
88,SV6GMJ,S&P 500,"3.600,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,740 EUR","9,840 EUR","1,02 %",,Europäisch,Société Générale,
89,SV6LMY,S&P 500,"3.000,00 Pkt.","5.600,00 Pkt.",15.12.2023,"9,730 EUR","9,830 EUR","1,02 %",,Europäisch,Société Générale,
90,SV6GMH,S&P 500,"3.600,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,740 EUR","9,840 EUR","1,02 %",,Europäisch,Société Générale,
91,SV1W3W,EURO STOXX 50,"3.000,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,710 EUR","9,810 EUR","1,02 %",,Europäisch,Société Générale,
92,SV1W3V,EURO STOXX 50,"3.000,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,710 EUR","9,810 EUR","1,02 %",,Europäisch,Société Générale,
93,SV1YNF,EURO STOXX 50,"3.200,00 Pkt.","4.600,00 Pkt.",15.09.2023,"9,680 EUR","9,780 EUR","1,02 %",,Europäisch,Société Générale,
94,SV48LF,EURO STOXX 50,"3.000,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,720 EUR","9,820 EUR","1,02 %",,Europäisch,Société Générale,
95,SV6GH5,EURO STOXX 50,"3.400,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,680 EUR","9,780 EUR","1,02 %",,Europäisch,Société Générale,
96,SV1W2P,S&P 500,"3.200,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,670 EUR","9,770 EUR","1,02 %",,Europäisch,Société Générale,
97,SV1YNK,EURO STOXX 50,"3.400,00 Pkt.","4.600,00 Pkt.",15.09.2023,"9,650 EUR","9,750 EUR","1,03 %",,Europäisch,Société Générale,
98,SV69CJ,S&P 500,"4.000,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,710 EUR","9,810 EUR","1,02 %",,Europäisch,Société Générale,
99,SV6GMG,S&P 500,"3.600,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,670 EUR","9,770 EUR","1,02 %",,Europäisch,Société Générale,
100,SV1W2Q,S&P 500,"3.200,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,670 EUR","9,770 EUR","1,02 %",,Europäisch,Société Générale,
101,SV6GH7,EURO STOXX 50,"3.400,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,700 EUR","9,800 EUR","1,02 %",,Europäisch,Société Générale,
102,SV6GH6,EURO STOXX 50,"3.400,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,700 EUR","9,800 EUR","1,02 %",,Europäisch,Société Générale,
